WAREHOUSENAME, STYLE, COLOR, SIZE, DESCRIPTION, UPCCODE, ACTUALQTY, PENDINGPICKING, AVAILABLE, ACCOUNTNAME
Bergen Logistics NJ2, 4B099, RED, US6/AU10, Vintage Queen, 20541, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B102, CREAM-AND-BLUE, US2/AU6, Mystic Two Piece, 20567, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B108, NUDE, US6/AU10, Isola, 20668, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B107, NAVY, US8/AU12, Wired Heart, 39608, 3, 0, 3, Fame & Partners Inc

Bergen Logistics NJ2, 4B123, MAGENTA, US14/AU18, Poppy, 20813, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B012SL, BLACK, US2/AU6, Violetta, 20313, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B093, PLUM, US6/AU10, Full Shadow, 20468, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13053, NAVY, US6/AU10, Imogen, 40144, 2, 0, 2, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13053, NAVY, US8/AU12, Imogen, 38792, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13054, WHITE, US2/AU6, Graphic Doll, 38542, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310023CL, NAVY, US8/AU12, Odessa, 13030, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310029CL, CHERRY-RED, US2/AU6, Tempest, 39831, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B054, WHITE, US4/AU8, Laced Heartline, 41371, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B107, BLACK, US8/AU12, Wired Heart, 41215, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13054, SKY-BLUE, US4/AU8, Graphic Doll, 21727, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310029W, BLUSH, US18/AU22, Rhodes, 21574, 1, 0, 1, Fame & Partners Inc
